id,values
1902,1.1
1903,-0.1
1904,2.2
1905,21.3
1906,22.2
1907,3.6
1908,4.8
1909,3.7
1910,24.0
1911,5.3
1912,6.2
1913,23.5
1914,4.4
1915,4.5
1916,23.4
1917,3.4
1918,3.9
1919,3.9
1920,2.5
1921,21.5
1922,0.8
1923,-0.2
1924,0.4
1925,3.5
1926,2.9
1927,20.0
1928,0.0
1929,0.5
1930,20.2
1931,0.7
1932,0.4
1933,0.8
1934,0.9
1935,0.8
1936,0.8
1937,0.7
1938,19.4
1939,0.0
1940,0.1
1941,19.6
1942,0.2
1943,-0.2
1944,18.6
1945,-0.9
1946,-0.5
1947,-0.3
1948,-1.0
1949,-0.4
1950,-0.1
1951,-0.1
1952,-0.1
1953,-0.2
1954,-0.1
1955,19.4
1956,0.8
1957,0.3
1958,0.7
1959,0.7
1960,0.4
1961,0.3
1962,-0.8
1963,-1.5
1964,-1.3
1965,-1.7
1966,-1.2
1967,-1.8
1968,-1.9
1969,-1.5
1970,-1.9
1971,-2.1
1972,-2.1
1973,-2.0
1974,-1.7
1975,17.1
1976,-2.3
1977,-1.7
1978,0.2
1979,2.5
1980,3.5
1981,22.5
1982,2.5
1983,2.6
1984,2.2
1985,-0.3
1986,17.7
1987,-1.2
1988,-1.2
1989,18.0
1990,-1.4
1991,-1.0
1992,18.4
1993,-1.0
1994,-2.5
1995,-4.4
1996,-4.4
1997,-4.4
1998,-4.0
1999,-3.8
2000,15.3
2001,-4.0
2002,-3.2
2003,-3.1
2004,-2.3
2005,-0.9
2006,-1.2
2007,18.6
2008,-1.4
2009,18.7
2010,0.8
2011,20.1
2012,3.1
2013,3.0
2014,21.6
2015,1.7
2016,1.3
2017,1.4
2018,1.3
2019,1.3
2020,1.3
2021,1.6
2022,1.1
2023,-0.1
2024,0.1
2025,0.3
2026,1.0
2027,1.0
2028,1.0
2029,1.1
2030,0.6
2031,0.4
2032,0.0
2033,-0.2
2034,-0.4
2035,-0.4
2036,-0.4
2037,-0.5
2038,-0.8
2039,-0.9
2040,-0.9
2041,17.6
2042,-2.4
2043,-3.1
2044,-2.9
2045,16.0
2046,-3.5
2047,-3.9
2048,15.3
